,Software Engineer Post Trade Technology Belfast ,https://www.linkedin.com/jobs/view/3715805339/,Belfast Metropolitan Area (Hybrid)
,Software Engineer,https://www.linkedin.com/jobs/view/3826379892/,"Bristol, England, United Kingdom (On-site)"
,Data Engineer,https://www.linkedin.com/jobs/view/3824868650/,"London, England, United Kingdom (Hybrid)"
,Software Developer,https://www.linkedin.com/jobs/view/3797606059/,"Malvern, England, United Kingdom (Hybrid)"
,Java Developers - SC Cleared - Sheffield,https://www.linkedin.com/jobs/view/3823305092/,"Sheffield, England, United Kingdom (Remote)"
,Software Developer,https://www.linkedin.com/jobs/view/3826416702/,"Gloucestershire, England, United Kingdom (Hybrid)"
,Graduate Software Engineer (Embedded),https://www.linkedin.com/jobs/view/3817366121/,"Rochester, England, United Kingdom (Hybrid)"
,Java Developers - SC Cleared - Manchester,https://www.linkedin.com/jobs/view/3823301815/,"Manchester, England, United Kingdom (Remote)"
,Scala Developer,https://www.linkedin.com/jobs/view/3821058492/,"England, United Kingdom (Remote)"
,Software Engineer,https://www.linkedin.com/jobs/view/3821057596/,"Oxfordshire, England, United Kingdom (On-site)"
,Software Developer,https://www.linkedin.com/jobs/view/3821059436/,"East Sussex, England, United Kingdom (On-site)"
,Web Developer (Full Stack),https://www.linkedin.com/jobs/view/3822471255/,"Edinburgh, Scotland, United Kingdom (Hybrid)"
,Node.js Developer - HealthTech,https://www.linkedin.com/jobs/view/3833090177/,"Durham, England, United Kingdom (Remote)"
,Golang Software Engineer,https://www.linkedin.com/jobs/view/3822435480/,"England, United Kingdom (Remote)"
,Java Developer - Bristol - Hybrid,https://www.linkedin.com/jobs/view/3826411142/,"Bristol, England, United Kingdom (Hybrid)"
,.Net Software Developer,https://www.linkedin.com/jobs/view/3823238438/,"Altrincham, England, United Kingdom (Hybrid)"
,Junior .Net Developer,https://www.linkedin.com/jobs/view/3820645966/,"Manchester, England, United Kingdom (Hybrid)"
,Data Engineer ,https://www.linkedin.com/jobs/view/3770708411/,"Manchester, England, United Kingdom (Hybrid)"
